"Dataset","Gene","Location","Probe","MedianBvalTumor","MedianBvalNormal","GTMT","GTMB","GTMut","GTCG","GTCD","GBMT","GBMB","GBMut","GBCG","GBCD","GTMTnSig","GTMBnSig","GBMTnSig","GBMBnSig"
"BRCA","NXN","GeneBody","cg19669385","0.8704","0.6969","8.63014703623716e-05","1","1","1.48184411840941e-05","1","1","4.34137069564383e-06","1","1","1","1","1","1","0.0018520702287119"
"BRCA","NXN","GeneBody","cg23884149","0.84405","0.9223","0.375777743251147","1","1","1.48184411840941e-05","1","1","7.39602064655725e-09","1","1","1","1","1","1","0.538792923213647"
"BRCA","NXN","GeneBody","cg25364619","0.5572","0.1841","1","2.57732360524543e-08","1","1.48184411840941e-05","1","9.12508565234226e-07","1","1","1","1","1","1","1","1"
"BRCA","NXN","GeneBody","cg26787320","0.82705","0.9455","1.98448803673427e-05","1","1","1.48184411840941e-05","1","1","9.73875595470506e-16","1","1","1","1","1","1","0.538792923213647"
"BRCA","NXN","GeneBody","cg20764358","0.71925","0.8162","0.0211976517828154","1","1","1.48184411840941e-05","1","1","9.73875595470506e-16","1","1","1","1","1","1","0.145107339531854"
"BRCA","NXN","GeneBody","cg27345989","0.5078","0.6554","0.0211976517828154","1","1","1.48184411840941e-05","1","1","1.28489582257308e-09","1","1","1","1","1","0.20540398606757","1"
"BRCA","NXN","GeneBody","cg20403644","0.39905","0.6688","3.87762242480796e-12","1","1","1.48184411840941e-05","1","1","5.79219281527567e-20","1","1","1","1","1","0.660847743784331","1"
"BRCA","NXN","GeneBody","cg13357416","0.83745","0.8644","2.06474017206295e-10","1","1","1.48184411840941e-05","1","1","2.0661394869451e-07","1","1","1","1","1","0.0343371800103704","1"
"BRCA","NXN","GeneBody","cg22237425","0.53715","0.3379","1","1.27187857824636e-05","1","1.48184411840941e-05","1","0.161593106567715","0.348617048822949","1","1","1","1","1","0.20540398606757","1"
"BRCA","NXN","GeneBody","cg25050975","0.71685","0.8219","0.0211976517828154","1","1","1.48184411840941e-05","1","1","9.15155624485304e-15","1","1","1","1","1","1","1"
"BRCA","NXN","GeneBody","cg09780231","0.4488","0.639","8.63014703623716e-05","1","1","1.48184411840941e-05","1","1","1.28489582257308e-09","1","1","1","1","1","1","0.145107339531854"
"BRCA","NXN","GeneBody","cg23283423","0.71715","0.4674","0.000990091862828939","1","1","1.48184411840941e-05","1","0.161593106567715","0.018044472310236","1","1","1","1","1","1","0.145107339531854"
"BRCA","NXN","GeneBody","cg23241448","0.11945","0.1857","2.22462107889899e-05","1","1","1.48184411840941e-05","1","0.500878423927303","2.0661394869451e-07","1","1","1","1","1","1","1"
"BRCA","NXN","GeneBody","cg25293325","0.56505","0.7813","1.22858833933644e-06","1","1","1.48184411840941e-05","1","1","2.11062328699768e-10","1","1","1","1","1","1","1"
"BRCA","NXN","GeneBody","cg06097704","0.76905","0.5499","8.63014703623716e-05","1","1","1.48184411840941e-05","1","0.0372018492772537","0.00699843155137152","1","1","1","1","1","1","0.145107339531854"
"BRCA","NXN","GeneBody","cg10546890","0.8208","0.9408","0.000990091862828939","1","1","1.48184411840941e-05","1","1","3.2723670436432e-11","1","1","1","1","1","1","1"
"BRCA","NXN","GeneBody","cg14717116","0.4655","0.7738","5.31555574830352e-17","1","1","1.48184411840941e-05","1","1","9.15155624485304e-15","1","1","1","1","1","1","0.0207146586974627"
"BRCA","SGK1","GeneBody","cg17689707","0.04515","0.0188","1","1","1","0.950001065084417","1","1","1","1","1","1","1","1","1","1"
"BRCA","SGK1","GeneBody","cg20393620","0.5025","0.3575","1","0.993773191678057","1","0.950001065084417","1","9.12508565234226e-07","1","1","1","1","1","1","0.660847743784331","1"
"BRCA","SGK1","GeneBody","cg03762694","0.1489","0.1257","1","0.701817190511179","1","0.950001065084417","1","0.297135712555837","1","1","1","1","0.655349270617119","1","1","1"
"BRCA","EN1","GeneBody","cg22970357","0.6076","0.4207","1","2.24115262707707e-39","1","6.77336136275591e-08","1","6.17460796239067e-05","1","1","1","0.278885007250394","1","0.538102752944799","1","1"
"BRCA","EN1","GeneBody","cg12231969","0.36115","0.1464","1","2.63063691034496e-13","1","6.77336136275591e-08","1","1.62756764924279e-05","1","1","1","0.278885007250394","1","0.538102752944799","0.660847743784331","1"
"BRCA","EN1","GeneBody","cg03883295","0.4261","0.4712","1","2.26655454839781e-19","1","6.77336136275591e-08","1","0.771747610654718","1","1","1","0.278885007250394","1","0.173095896410558","1","1"
"BRCA","EN1","GeneBody","cg01165776","0.4027","0.5655","1","3.01334911748066e-06","1","6.77336136275591e-08","1","0.771747610654718","0.0431721824218699","1","1","0.278885007250394","1","0.538102752944799","1","1"
"BRCA","EN1","GeneBody","cg16794506","0.4946","0.3712","1","2.92776386832475e-25","1","6.77336136275591e-08","1","0.00600895986004389","1","1","1","0.278885007250394","1","1","1","1"
"BRCA","EN1","GeneBody","cg06704122","0.121","0.0254","1","0.0315071219399365","1","6.77336136275591e-08","1","0.00217443313367444","1","1","1","0.278885007250394","1","1","1","1"
"BRCA","EN1","AfterGene","cg26990102","0.3319","0.2954","1","2.11969155875071e-12","1","6.77336136275591e-08","1","0.0811001700959772","0.580949754888043","1","1","0.278885007250394","0.25338911894722","1","1","9.0435033510429e-05"
"BRCA","EN1","AfterGene","cg20804050","0.32765","0.0375","1","2.12848830703266e-14","1","6.77336136275591e-08","1","0.00217443313367444","1","1","1","0.278885007250394","1","1","1","1"
"BRCA","EN1","GeneBody","cg21215767","0.5252","0.4515","1","1.6917430351913e-36","1","6.77336136275591e-08","1","0.500878423927303","1","1","1","0.278885007250394","1","0.538102752944799","1","1"
