"whichdata","allgenes","allprobes","pvalslog","pvalslogcorrected","pvalscox","pvalscoxcorrected","hazard"
"BLCA","CD28","cg22309950","0.881983910895328","0.948561791264446","0.881972052367289","0.950965151735796","1.05839439904469"
"BLCA","CD40","cg22232207","0.176935267011701","0.50583683391423","0.180424864628611","0.523065143088503","1.57602911146387"
"BLCA","CD40","cg01943874","0.742825780322403","0.906899752457517","0.741110587165764","0.907595566544324","1.1245246486733"
"BLCA","CD40","cg19785066","0.394688829240384","0.707424094348212","0.396598126533112","0.715526318477112","1.36713450458902"
"BLCA","CD40","cg06571407","0.138301109377443","0.453921238878481","0.142083865136354","0.477237674270326","1.64918003818222"
"BLCA","CD6","cg26427109","0.845812432488702","0.935139084397731","0.845857431683521","0.937624983234092","1.09351346580879"
"BLCA","CDH2","cg14312538","0.820547254124984","0.926932645964471","0.822962888741022","0.930684691309626","1.07796857771206"
"BLCA","CDH2","cg06090660","0.137011300671945","0.452214264858245","0.142387715942602","0.477237674270326","1.66603168525788"
"BLCA","CDH2","cg13464915","0.200118754660126","0.53561921010987","0.205035151233224","0.555363170920503","1.55617623796956"
"BLCA","CLDN1","cg25330387","0.210843907453348","0.542104138419439","0.214236256364288","0.557932770044304","0.653636235420453"
"BLCA","CLDN1","cg00804587","0.826568413930835","0.929355839400862","0.826608286520598","0.930821820591804","0.927500106507539"
"BLCA","CLDN4","cg22123387","0.0167850741188988","0.167479969353733","0.0205263754759354","0.219948919309656","0.415561741485125"
"BLCA","CLDN4","cg02936493","0.707210130437716","0.892548502226628","0.707436974896235","0.893913699987968","1.15399572202675"
"BLCA","CNTN1","cg14625113","0.469478791818674","0.761930359650472","0.469240098293911","0.766838653417055","1.2733667624082"
"BLCA","CNTN1","cg14243778","0.0440012303766723","0.261118412588838","0.0481745534298943","0.299497885080031","2.00764689632086"
"BLCA","CTLA4","cg08460026","0.898643390712169","0.951064297866056","0.895187741052597","0.952784781934138","1.04376837076333"
"BLCA","HLA-DPA1","cg00750366","0.280893265539595","0.621735198420764","0.283723370161289","0.630168076568509","1.44618880515055"
"BLCA","HLA-DPA1","cg02286081","0.438153393874768","0.736224464232994","0.440079342541478","0.741884114040511","1.34925122090123"
"BLCA","VCAM1","cg25762679","0.478427515244846","0.764833102602305","0.477941342074876","0.770042805992846","1.2847845363278"
"BLCA","VCAN","cg00328900","0.594837937521795","0.842203967566974","0.595290102679233","0.845787026176662","0.836335858617156"
"BLCA","VCAN","cg16431436","0.728318220069336","0.902654300407316","0.730765455212536","0.905748322652669","1.12074533450071"
"BRCA","CADM3","cg03951219","0.375554693241602","0.701552884831292","0.377852789687914","0.708136445749076","1.41449831190089"
"BRCA","CD28","cg04098585","0.591895989908577","0.840964677318716","0.59254574743162","0.843542921852462","1.22944125159651"
"BRCA","CD28","cg22309950","0.999410083776983","0.999564255680886","0.999410083779534","0.999410083779534","1.00032351979222"
"BRCA","CD4","cg27478485","0.932302882330096","0.966400328098501","0.932306539042152","0.969268572528791","0.963415923439057"
"BRCA","CD40","cg22232207","0.0844478048935128","0.35692867176215","0.0916225538168935","0.392163227967103","2.09335531186758"
"BRCA","CD40","cg11841529","0.237131511175914","0.568631684962651","0.241982547902939","0.583838796275059","1.64992305529052"
